talId,Customer Number,CountryName,CustType,busSelector,item_name,BrandName,jan_fcast,feb_fcast,mar_fcast,apr_fcast,may_fcast,jun_fcast,jul_fcast,aug_fcast,sep_fcast,oct_fcast,nov_fcast,dec_fcast,totalSalesTarget_fcast,lastRollingForcast_fcast,totalForecast_fcast,varient_fcast,ytd_fcast,yearToGo_fcast,financialPlan_fcast,jan_focs,feb_focs,mar_focs,apr_focs,may_focs,jun_focs,jul_focs,aug_focs,sep_focs,oct_focs,nov_focs,dec_focs,totalSalesTarget_fcast,lastRollingForcast_fcast,totalForecast_fcast,varient_fcast,ytd_fcast,yearToGo_fcast,financialPlan_fcast,year,createdDate,ModifiedDate
1,54845,SA,Institution    ,DPO,65,25,520,640,760,680,760,800,480,480,680,840,600,760,18000,480,8000,7520,4640,13360,,6270.68,7717.76,9164.84,8200.12,9164.84,9647.2,1828.224,1828.224,2589.984,3199.392,2285.28,2894.688,28000,1828.224,64791.232,62963.008,51993.664,-23993.664,,2019,8/22/2019,8/22/2019
2,54845,SA,Private        ,DPO,65,25,6175,7600,9025,8075,9500,9025,4750,5700,9025,9975,9025,7125,18000,4750,95000,90250,54150,-36150,,74464.325,91648.4,108832.475,97376.425,114560.5,108832.475,18091.8,21710.16,34374.42,37992.78,34374.42,27137.7,28000,18091.8,769395.88,751304.08,613806.4,-585806.4,,2019,8/22/2019,8/22/2019
3,54847,SA,Private        ,DPO,14,7,6,,9,3,,,,,,,,,18000,0,18,18,18,17982,,10794.0128,,16191.0192,5397.0064,,,,,,,,,28000,0,32382.0384,32382.0384,32382.0384,-4382.0384,,2019,8/22/2019,8/22/2019
4,54847,KSA,Institution    ,DPO,14,7,19.91465149,19.20341394,71.12375533,40.18492176,118.7766714,57.9658606,34.49502134,33.78378378,39.47368421,23.11522048,20.27027027,21.69274538,18000,34.49502,500,465.50498,361.6642959,17638.3357,,35826.50052,34546.98265,127951.7876,72292.75998,213679.4853,104280.7069,62056.61697,60777.0991,71013.24211,41584.33096,36466.25946,39025.29521,28000,62056.62,899501.0667,837444.4467,650634.8398,-622634.8398,,2019,8/22/2019,8/22/2019
